day_of_week,minute_of_day,current_occupied,current_empty,label_any_empty
3,44,1,5,1
0,1362,0,6,1
4,631,6,0,0
5,802,2,4,1
2,1238,5,1,1
0,843,4,2,1
0,802,6,0,0
3,1217,4,2,1
3,1089,4,2,1
2,533,5,1,1
6,397,1,5,1
0,10,0,6,1
0,971,0,6,1
5,469,0,6,1
5,1033,5,1,1
4,339,0,6,1
5,1001,4,2,1
2,614,6,0,0
1,825,6,0,0
4,941,5,1,1
2,1246,5,1,1
3,783,6,0,0
4,876,5,1,1
3,834,2,4,1
6,621,1,5,1
3,35,0,6,1
4,1345,1,5,1
3,574,6,0,0
0,294,2,4,1
2,708,4,2,1
5,1055,3,3,1
1,1124,5,1,1
3,550,6,0,0
0,1352,0,6,1
5,295,1,5,1
2,1237,5,1,1
4,144,1,5,1
0,1281,5,1,1
1,935,5,1,1
4,213,0,6,1
1,1367,0,6,1
6,1270,0,6,1
2,1003,6,0,0
4,824,5,1,1
6,293,0,6,1
0,1168,6,0,0
1,368,0,6,1
5,425,0,6,1
5,493,0,6,1
6,851,2,4,1
4,577,6,0,0
3,39,1,5,1
0,250,0,6,1
6,1145,1,5,1
0,233,1,5,1
5,113,0,6,1
0,744,6,0,0
6,1259,3,3,1
5,1123,2,4,1
5,778,2,4,1
5,567,1,5,1
2,1171,5,1,1
1,176,0,6,1
0,7,0,6,1
3,450,0,6,1
3,558,6,0,0
3,1255,3,3,1
5,302,2,4,1
3,1305,2,4,1
6,251,1,5,1
3,1164,6,0,0
2,536,6,0,0
2,656,4,2,1
1,682,6,0,0
6,598,3,3,1
3,437,0,6,1
2,295,0,6,1
1,4,0,6,1
6,502,1,5,1
5,65,0,6,1
0,1004,1,5,1
0,399,3,3,1
3,1206,5,1,1
1,395,0,6,1
0,34,0,6,1
2,331,0,6,1
0,576,4,2,1
3,933,5,1,1
0,252,0,6,1
1,469,3,3,1
2,128,0,6,1
0,73,0,6,1
0,348,0,6,1
4,194,0,6,1
2,288,0,6,1
5,665,0,6,1
4,922,2,4,1
1,590,4,2,1
5,290,0,6,1
5,371,0,6,1
0,104,0,6,1
6,442,0,6,1
1,992,3,3,1
1,1051,4,2,1
3,466,0,6,1
3,409,0,6,1
3,1342,3,3,1
5,224,1,5,1
0,1364,0,6,1
5,753,2,4,1
5,501,0,6,1
3,106,4,2,1
4,732,2,4,1
2,1431,1,5,1
1,572,4,2,1
6,1113,0,6,1
6,253,1,5,1
0,724,4,2,1
5,511,0,6,1
2,1302,0,6,1
6,296,0,6,1
1,142,2,4,1
4,765,6,0,0
3,363,2,4,1
6,953,4,2,1
4,262,0,6,1
1,1153,3,3,1
0,1205,0,6,1
6,88,0,6,1
6,109,0,6,1
2,800,5,1,1
4,759,4,2,1
4,971,0,6,1
0,1178,6,0,0
4,68,0,6,1
2,759,4,2,1
6,1078,5,1,1
4,543,6,0,0
4,1108,3,3,1
4,158,0,6,1
0,194,1,5,1
4,263,0,6,1
1,891,6,0,0
0,830,5,1,1
5,835,1,5,1
0,844,6,0,0
4,412,1,5,1
0,343,0,6,1
0,460,5,1,1
1,635,6,0,0
4,66,0,6,1
5,177,0,6,1
1,44,0,6,1
4,842,3,3,1
2,1412,0,6,1
1,453,3,3,1
3,1299,2,4,1
2,1071,6,0,0
4,1170,2,4,1
4,637,6,0,0
5,1352,0,6,1
3,586,6,0,0
6,406,2,4,1
4,491,3,3,1
2,638,6,0,0
2,397,3,3,1
2,902,6,0,0
0,711,5,1,1
5,1037,3,3,1
2,294,0,6,1
5,213,1,5,1
5,1303,0,6,1
0,309,3,3,1
5,610,0,6,1
1,1278,1,5,1
0,1420,0,6,1
3,1071,6,0,0
4,764,4,2,1
1,148,0,6,1
0,643,6,0,0
3,685,5,1,1
1,197,0,6,1
3,767,2,4,1
5,1086,1,5,1
1,417,0,6,1
6,136,0,6,1
6,455,0,6,1
3,671,6,0,0
6,412,0,6,1
0,997,0,6,1
5,943,4,2,1
5,7,0,6,1
0,1277,0,6,1
1,1282,1,5,1
2,933,4,2,1
0,313,3,3,1
1,1394,0,6,1
2,291,0,6,1
5,95,0,6,1
4,1372,0,6,1
2,511,5,1,1
5,620,1,5,1
4,1393,0,6,1
4,507,5,1,1
1,1234,1,5,1
0,157,1,5,1
0,435,5,1,1
1,1407,0,6,1
6,90,0,6,1
4,664,6,0,0
0,166,0,6,1
5,41,0,6,1
4,1118,2,4,1
2,657,4,2,1
6,754,0,6,1
5,1050,3,3,1
0,404,3,3,1
6,382,1,5,1
1,562,5,1,1
2,955,4,2,1
5,1111,6,0,0
4,784,6,0,0
0,1002,0,6,1
1,1223,1,5,1
3,647,6,0,0
4,131,0,6,1
5,1311,1,5,1
1,1349,0,6,1
3,960,4,2,1
2,340,0,6,1
1,486,3,3,1
0,842,4,2,1
2,136,0,6,1
5,1211,2,4,1
4,596,6,0,0
1,1318,0,6,1
2,128,1,5,1
6,543,1,5,1
1,1412,0,6,1
3,545,6,0,0
1,710,6,0,0
5,1243,2,4,1
6,738,3,3,1
2,662,5,1,1
4,1393,0,6,1
5,694,0,6,1
1,650,6,0,0
1,1336,0,6,1
0,938,5,1,1
5,396,0,6,1
1,457,3,3,1
3,1349,1,5,1
5,565,0,6,1
0,1249,0,6,1
5,227,2,4,1
3,203,4,2,1
2,972,4,2,1
1,830,6,0,0
5,721,0,6,1
2,1084,5,1,1
1,204,0,6,1
1,1417,0,6,1
6,92,0,6,1
0,551,6,0,0
2,706,4,2,1
2,822,5,1,1
1,946,5,1,1
3,250,0,6,1
5,1182,3,3,1
5,414,0,6,1
5,715,2,4,1
5,1029,3,3,1
3,1078,4,2,1
4,295,0,6,1
1,472,3,3,1
1,11,0,6,1
4,762,6,0,0
0,154,0,6,1
3,381,0,6,1
1,454,3,3,1
5,1274,2,4,1
1,202,0,6,1
5,814,2,4,1
1,1061,4,2,1
2,201,0,6,1
4,28,0,6,1
0,146,0,6,1
1,993,3,3,1
2,356,0,6,1
6,1094,0,6,1
4,870,6,0,0
3,558,5,1,1
0,888,6,0,0
5,487,0,6,1
3,538,6,0,0
4,139,1,5,1
6,1404,0,6,1
4,224,0,6,1
3,1073,6,0,0
2,517,5,1,1
2,1165,4,2,1
2,966,4,2,1
6,1280,3,3,1
3,857,6,0,0
6,956,4,2,1
6,321,1,5,1
5,1126,6,0,0
3,590,6,0,0
0,1391,2,4,1
1,824,6,0,0
5,1074,1,5,1
3,323,2,4,1
5,1015,4,2,1
5,1105,1,5,1
0,417,4,2,1
4,23,0,6,1
6,73,0,6,1
0,1070,1,5,1
3,1327,4,2,1
0,515,6,0,0
0,1397,2,4,1
1,1319,0,6,1
6,472,0,6,1
4,712,3,3,1
3,962,5,1,1
0,1437,0,6,1
6,426,0,6,1
1,214,0,6,1
4,176,1,5,1
5,933,4,2,1
0,64,0,6,1
3,870,4,2,1
4,969,6,0,0
4,403,0,6,1
5,1114,1,5,1
5,1005,3,3,1
2,679,6,0,0
4,183,1,5,1
3,423,0,6,1
4,418,0,6,1
6,782,0,6,1
1,589,4,2,1
2,595,6,0,0
4,1340,1,5,1
6,273,0,6,1
2,890,6,0,0
6,1151,6,0,0
4,1007,1,5,1
5,847,1,5,1
3,1232,4,2,1
3,319,0,6,1
2,421,3,3,1
4,1410,0,6,1
1,380,0,6,1
0,66,0,6,1
6,1132,6,0,0
1,209,1,5,1
0,291,2,4,1
1,1173,3,3,1
2,39,0,6,1
0,344,0,6,1
5,610,1,5,1
3,182,0,6,1
3,589,6,0,0
0,560,5,1,1
2,1001,6,0,0
3,483,1,5,1
1,777,6,0,0
1,1215,1,5,1
6,975,2,4,1
3,1044,3,3,1
0,439,4,2,1
4,1098,3,3,1
2,1430,0,6,1
6,84,0,6,1
0,599,6,0,0
3,420,1,5,1
6,608,3,3,1
5,313,2,4,1
2,95,1,5,1
1,892,6,0,0
3,671,6,0,0
1,1255,0,6,1
6,650,5,1,1
6,989,3,3,1
3,958,3,3,1
6,271,0,6,1
6,6,0,6,1
0,708,5,1,1
6,1292,4,2,1
0,27,0,6,1
4,1232,0,6,1
4,376,0,6,1
2,1097,4,2,1
1,276,1,5,1
2,1340,4,2,1
1,814,6,0,0
3,441,0,6,1
4,1215,0,6,1
4,891,2,4,1
0,887,5,1,1
4,401,0,6,1
2,1075,5,1,1
4,137,0,6,1
3,77,2,4,1
1,200,0,6,1
2,1428,0,6,1
3,1275,1,5,1
3,654,6,0,0
3,1170,5,1,1
4,247,0,6,1
0,63,0,6,1
5,39,0,6,1
1,996,3,3,1
6,407,0,6,1
0,688,6,0,0
0,1005,1,5,1
2,1261,5,1,1
0,963,5,1,1
0,597,6,0,0
0,1272,0,6,1
1,573,6,0,0
2,578,6,0,0
0,729,6,0,0
6,427,0,6,1
2,1264,5,1,1
6,152,1,5,1
2,836,5,1,1
3,1147,4,2,1
2,1350,4,2,1
5,451,0,6,1
3,182,5,1,1
0,998,2,4,1
1,1292,0,6,1
6,956,1,5,1
4,1437,0,6,1
2,321,0,6,1
2,1249,1,5,1
5,869,5,1,1
6,1425,0,6,1
1,816,6,0,0
6,1377,2,4,1
3,861,3,3,1
6,1269,0,6,1
4,1423,0,6,1
6,1025,2,4,1
1,522,3,3,1
4,350,0,6,1
0,928,5,1,1
0,1131,0,6,1
3,1348,1,5,1
6,876,3,3,1
3,632,6,0,0
6,576,2,4,1
0,1032,1,5,1
5,390,0,6,1
6,571,2,4,1
0,995,2,4,1
4,886,2,4,1
3,907,6,0,0
3,1188,6,0,0
4,498,1,5,1
3,476,0,6,1
0,407,4,2,1
6,1127,6,0,0
3,902,6,0,0
1,686,6,0,0
2,126,1,5,1
6,397,1,5,1
0,623,6,0,0
3,335,2,4,1
5,1358,0,6,1
2,588,1,5,1
0,317,0,6,1
2,1014,6,0,0
1,526,3,3,1
3,538,5,1,1
4,177,1,5,1
0,918,5,1,1
5,936,4,2,1
3,394,0,6,1
1,459,3,3,1
6,892,3,3,1
0,162,0,6,1
2,506,2,4,1
5,1429,0,6,1
5,1155,2,4,1
0,420,4,2,1
0,12,0,6,1
4,1300,0,6,1
5,1066,6,0,0
5,1385,0,6,1
5,1135,6,0,0
4,627,6,0,0
4,49,1,5,1
6,876,3,3,1
0,863,6,0,0
3,1031,4,2,1
1,762,6,0,0
0,1401,2,4,1
6,1151,1,5,1
1,645,6,0,0
1,950,5,1,1
4,272,0,6,1
1,405,0,6,1
4,971,6,0,0
1,354,1,5,1
0,242,0,6,1
5,71,0,6,1
1,706,6,0,0
2,1382,0,6,1
0,1380,0,6,1
5,868,5,1,1
5,1367,0,6,1
0,996,0,6,1
4,1231,0,6,1
2,1028,5,1,1
1,7,0,6,1
0,1379,0,6,1
1,964,5,1,1
5,500,0,6,1
3,482,1,5,1
2,567,6,0,0
4,681,5,1,1
2,315,0,6,1
0,630,6,0,0
3,728,6,0,0
5,1287,0,6,1
4,973,6,0,0
4,1379,1,5,1
6,1048,4,2,1
6,1016,4,2,1
3,1196,6,0,0
5,1218,2,4,1
5,388,0,6,1
2,180,0,6,1
0,256,0,6,1
4,1022,4,2,1
6,886,3,3,1
3,592,6,0,0
1,1308,0,6,1
6,919,3,3,1
0,556,6,0,0
4,624,6,0,0
2,270,0,6,1
6,837,1,5,1
4,281,0,6,1
3,1097,4,2,1
6,1154,5,1,1
6,796,0,6,1
1,1228,1,5,1
0,1074,1,5,1
0,289,0,6,1
2,1200,5,1,1
4,46,0,6,1
1,523,3,3,1
3,194,0,6,1
4,1415,0,6,1
2,1380,3,3,1
5,898,4,2,1
2,358,0,6,1
3,22,0,6,1
1,517,3,3,1
6,1263,0,6,1
2,507,3,3,1
5,186,1,5,1
5,1029,4,2,1
2,577,6,0,0
6,786,0,6,1
6,1283,3,3,1
0,725,4,2,1
4,349,0,6,1
4,1028,4,2,1
0,1148,6,0,0
3,1398,3,3,1
4,555,6,0,0
0,692,5,1,1
6,575,2,4,1
0,337,0,6,1
5,1277,2,4,1
4,321,0,6,1
6,2,0,6,1
4,6,0,6,1
5,919,2,4,1
2,18,0,6,1
1,33,0,6,1
4,923,6,0,0
1,571,3,3,1
0,618,6,0,0
6,1090,0,6,1
2,66,1,5,1
1,64,0,6,1
4,295,0,6,1
0,730,4,2,1
5,631,0,6,1
6,543,4,2,1
4,345,0,6,1
3,1274,1,5,1
5,812,1,5,1
0,368,3,3,1
6,971,4,2,1
5,367,2,4,1
0,42,0,6,1
4,252,0,6,1
2,42,1,5,1
4,320,0,6,1
3,404,0,6,1
3,16,0,6,1
2,647,5,1,1
3,667,6,0,0
0,107,0,6,1
1,948,5,1,1
4,290,0,6,1
5,1024,4,2,1
6,673,4,2,1
4,1310,0,6,1
1,1227,1,5,1
5,352,0,6,1
5,573,1,5,1
5,1065,1,5,1
1,780,6,0,0
4,1246,0,6,1
6,1123,0,6,1
3,289,0,6,1
0,364,3,3,1
4,289,0,6,1
5,934,5,1,1
6,601,2,4,1
2,30,1,5,1
4,461,1,5,1
0,602,6,0,0
1,757,4,2,1
2,554,6,0,0
6,1350,0,6,1
6,1097,0,6,1
3,233,0,6,1
1,1254,0,6,1
6,430,0,6,1
3,972,5,1,1
3,1159,4,2,1
5,837,1,5,1
2,1276,1,5,1
4,783,6,0,0
6,544,4,2,1
1,1265,0,6,1
1,1091,4,2,1
2,533,6,0,0
2,559,6,0,0
5,952,5,1,1
2,1056,5,1,1
1,394,0,6,1
4,1321,0,6,1
1,1171,2,4,1
5,666,0,6,1
3,1332,1,5,1
0,31,0,6,1
5,699,0,6,1
4,1060,2,4,1
1,1092,5,1,1
5,1160,3,3,1
3,686,5,1,1
2,636,3,3,1
6,499,1,5,1
5,703,0,6,1
1,496,2,4,1
5,1107,1,5,1
2,1214,5,1,1
6,670,4,2,1
2,639,6,0,0
4,521,4,2,1
6,500,1,5,1
6,1142,6,0,0
5,1097,6,0,0
0,360,0,6,1
1,43,0,6,1
5,104,0,6,1
3,295,1,5,1
3,1219,4,2,1
0,697,5,1,1
4,1383,0,6,1
1,1116,6,0,0
3,506,4,2,1
1,782,6,0,0
3,734,6,0,0
2,863,4,2,1
5,908,5,1,1
6,1129,0,6,1
0,1376,0,6,1
1,1427,0,6,1
4,285,0,6,1
4,979,6,0,0
4,1043,4,2,1
6,980,2,4,1
6,568,4,2,1
1,108,0,6,1
5,312,2,4,1
2,252,0,6,1
5,459,0,6,1
1,173,2,4,1
5,455,0,6,1
1,947,5,1,1
2,593,1,5,1
1,1377,0,6,1
5,170,0,6,1
6,1117,0,6,1
4,1311,0,6,1
0,370,3,3,1
4,193,0,6,1
6,1048,2,4,1
4,883,6,0,0
4,553,6,0,0
5,248,0,6,1
1,1320,0,6,1
3,1372,1,5,1
6,829,0,6,1
6,595,2,4,1
2,1167,5,1,1
4,277,0,6,1
6,699,4,2,1
1,1320,0,6,1
4,805,4,2,1
0,913,6,0,0
0,141,0,6,1
3,1077,4,2,1
2,1181,5,1,1
3,1316,2,4,1
1,1069,4,2,1
6,542,1,5,1
1,692,6,0,0
1,246,0,6,1
2,977,4,2,1
6,605,2,4,1
4,995,5,1,1
0,1197,6,0,0
5,209,1,5,1
1,165,2,4,1
5,1101,6,0,0
4,986,0,6,1
1,1428,0,6,1
1,579,3,3,1
0,1350,0,6,1
3,582,5,1,1
0,774,5,1,1
6,1171,1,5,1
5,102,0,6,1
5,93,0,6,1
5,136,0,6,1
0,493,4,2,1
0,1325,0,6,1
2,825,6,0,0
1,351,0,6,1
2,1340,0,6,1
6,811,3,3,1
5,193,1,5,1
1,537,6,0,0
0,1188,6,0,0
5,944,5,1,1
4,693,6,0,0
1,69,0,6,1
6,1115,6,0,0
5,506,0,6,1
0,462,3,3,1
1,460,3,3,1
3,175,5,1,1
6,546,1,5,1
1,1138,4,2,1
2,506,5,1,1
3,1144,4,2,1
0,576,6,0,0
5,537,0,6,1
2,422,4,2,1
6,867,3,3,1
1,956,5,1,1
1,1413,0,6,1
5,674,0,6,1
4,550,5,1,1
0,175,1,5,1
4,1213,4,2,1
3,800,6,0,0
5,982,3,3,1
3,660,6,0,0
4,273,0,6,1
6,475,0,6,1
4,935,5,1,1
0,15,0,6,1
0,836,6,0,0
1,869,6,0,0
2,1178,5,1,1
0,1113,0,6,1
2,519,5,1,1
4,737,2,4,1
1,1279,0,6,1
0,426,4,2,1
1,905,6,0,0
4,1350,1,5,1
6,98,0,6,1
0,1142,0,6,1
1,611,4,2,1
4,1234,0,6,1
5,624,0,6,1
2,1138,4,2,1
1,718,4,2,1
4,102,0,6,1
6,538,1,5,1
0,880,6,0,0
4,1277,0,6,1
4,78,0,6,1
5,1331,0,6,1
0,733,4,2,1
5,308,2,4,1
4,367,0,6,1
6,925,2,4,1
3,737,3,3,1
0,703,5,1,1
3,453,1,5,1
5,149,0,6,1
5,1168,2,4,1
3,479,1,5,1
0,57,0,6,1
1,1405,0,6,1
0,2,0,6,1
2,207,0,6,1
1,489,2,4,1
1,1393,0,6,1
5,196,0,6,1
0,729,4,2,1
6,424,0,6,1
0,344,3,3,1
4,539,6,0,0
4,204,0,6,1
3,613,6,0,0
3,956,3,3,1
2,1291,0,6,1
5,350,2,4,1
3,1183,6,0,0
5,966,3,3,1
2,541,6,0,0
5,1177,3,3,1
0,1042,1,5,1
5,887,1,5,1
1,218,0,6,1
6,1056,2,4,1
4,910,6,0,0
4,1289,0,6,1
6,267,0,6,1
3,647,6,0,0
0,943,0,6,1
6,951,1,5,1
0,219,0,6,1
5,1069,6,0,0
4,390,0,6,1
5,603,1,5,1
6,120,0,6,1
2,1044,6,0,0
4,909,6,0,0
0,481,5,1,1
5,569,1,5,1
4,684,6,0,0
2,1072,5,1,1
1,71,0,6,1
3,818,5,1,1
2,1298,1,5,1
6,1092,5,1,1
3,696,6,0,0
6,517,1,5,1
4,406,1,5,1
2,297,0,6,1
6,720,1,5,1
6,637,0,6,1
3,811,6,0,0
2,55,0,6,1
3,1084,4,2,1
2,120,0,6,1
4,727,3,3,1
4,56,0,6,1
0,967,4,2,1
6,837,3,3,1
4,1068,4,2,1
6,1013,4,2,1
6,798,3,3,1
2,1262,1,5,1
1,116,0,6,1
1,721,4,2,1
6,48,0,6,1
4,247,0,6,1
0,600,5,1,1
5,734,0,6,1
2,81,0,6,1
0,1020,2,4,1
4,1050,3,3,1
4,299,0,6,1
5,408,0,6,1
0,1279,5,1,1
2,1176,4,2,1
0,1212,5,1,1
3,359,0,6,1
2,907,6,0,0
3,856,1,5,1
6,632,1,5,1
4,649,6,0,0
4,1198,1,5,1
4,490,3,3,1
0,566,6,0,0
4,585,6,0,0
2,307,0,6,1
2,1023,5,1,1
6,60,0,6,1
3,978,5,1,1
1,447,3,3,1
3,1038,3,3,1
4,1146,2,4,1
0,362,0,6,1
6,1115,0,6,1
3,1033,4,2,1
4,678,6,0,0
0,246,0,6,1
6,300,1,5,1
2,1139,5,1,1
5,17,0,6,1
1,588,4,2,1
6,408,1,5,1
4,1138,0,6,1
6,181,0,6,1
4,1083,3,3,1
1,1073,4,2,1
6,553,4,2,1
5,983,3,3,1
1,1170,3,3,1
6,519,1,5,1
2,782,6,0,0
3,632,6,0,0
3,187,4,2,1
3,643,6,0,0
1,636,6,0,0
3,5,0,6,1
1,936,5,1,1
4,486,3,3,1
5,254,1,5,1
1,892,6,0,0
6,1326,0,6,1
0,454,5,1,1
1,911,6,0,0
3,750,2,4,1
0,244,0,6,1
4,930,0,6,1
5,685,0,6,1
4,173,0,6,1
0,759,5,1,1
3,1060,4,2,1
2,853,3,3,1
1,717,4,2,1
0,536,5,1,1
5,402,0,6,1
1,431,1,5,1
2,643,5,1,1
4,1143,2,4,1
4,124,0,6,1
1,751,5,1,1
0,559,6,0,0
1,763,6,0,0
4,621,6,0,0
2,1030,6,0,0
5,280,1,5,1
4,1390,0,6,1
3,1252,3,3,1
2,1335,0,6,1
6,454,0,6,1
5,542,0,6,1
5,950,5,1,1
2,269,1,5,1
4,347,0,6,1
3,670,6,0,0
5,987,4,2,1
2,814,6,0,0
1,491,3,3,1
5,354,2,4,1
5,261,1,5,1
6,101,0,6,1
2,125,0,6,1
0,1137,0,6,1
5,1104,1,5,1
2,7,0,6,1
4,155,0,6,1
4,520,4,2,1
0,1018,0,6,1
5,762,2,4,1
4,1242,0,6,1
1,1382,0,6,1
6,670,0,6,1
4,243,0,6,1
3,224,3,3,1
1,1186,2,4,1
1,100,0,6,1
3,324,2,4,1
5,385,0,6,1
6,818,3,3,1
5,1190,4,2,1
5,56,0,6,1
2,263,1,5,1
6,447,0,6,1
3,212,3,3,1
6,417,0,6,1
3,736,6,0,0
4,966,6,0,0
2,843,5,1,1
0,743,6,0,0
0,1050,1,5,1
0,329,3,3,1
0,792,6,0,0
2,1365,0,6,1
6,1198,2,4,1
0,848,6,0,0
1,215,0,6,1
3,830,4,2,1
2,557,6,0,0
3,466,0,6,1
1,465,3,3,1
1,364,0,6,1
1,829,6,0,0
1,902,5,1,1
1,888,6,0,0
4,52,1,5,1
3,847,5,1,1
3,481,1,5,1
0,1237,0,6,1
0,465,5,1,1
0,1176,0,6,1
6,367,0,6,1
5,327,0,6,1
3,924,5,1,1
6,653,4,2,1
6,1012,2,4,1
6,275,0,6,1
0,793,5,1,1
3,777,1,5,1
4,571,6,0,0
2,463,4,2,1
5,722,2,4,1
3,1229,4,2,1
2,911,6,0,0
1,62,0,6,1
0,307,0,6,1
5,96,0,6,1
4,1174,2,4,1
3,891,5,1,1
2,1371,4,2,1
1,837,6,0,0
4,1239,0,6,1
6,1042,4,2,1
0,1167,6,0,0
4,1088,1,5,1
3,210,0,6,1
6,445,0,6,1
1,1155,3,3,1
6,10,0,6,1
6,694,4,2,1
1,627,6,0,0
1,866,6,0,0
2,44,1,5,1
0,183,1,5,1
2,1147,4,2,1
4,123,0,6,1
0,558,5,1,1
0,82,0,6,1
1,1164,3,3,1
5,85,0,6,1
5,446,0,6,1
4,1096,3,3,1
4,155,0,6,1
1,904,5,1,1
3,799,6,0,0
3,1413,2,4,1
6,661,0,6,1
2,752,6,0,0
0,1239,3,3,1
6,681,4,2,1
6,225,1,5,1
1,1188,2,4,1
5,1078,1,5,1
5,56,0,6,1
1,402,0,6,1
3,102,4,2,1
3,600,6,0,0
6,880,3,3,1
1,891,6,0,0
5,330,2,4,1
0,825,5,1,1
0,932,5,1,1
4,1099,3,3,1
1,850,6,0,0
5,1166,3,3,1
2,61,0,6,1
4,132,0,6,1
0,442,4,2,1
1,841,6,0,0
1,1034,3,3,1
0,207,0,6,1
1,1174,3,3,1
1,883,6,0,0
5,689,0,6,1
2,33,1,5,1
1,1105,6,0,0
4,1368,1,5,1
6,729,3,3,1
4,1148,2,4,1
5,1397,0,6,1
4,1197,1,5,1
6,856,2,4,1
4,930,5,1,1
5,804,3,3,1
3,1062,6,0,0
5,1083,1,5,1
1,857,6,0,0
4,955,6,0,0
2,362,0,6,1
4,483,2,4,1
2,246,1,5,1
4,34,0,6,1
4,738,2,4,1
3,415,0,6,1
6,722,1,5,1
3,669,6,0,0
4,519,4,2,1
1,378,0,6,1
1,1233,1,5,1
4,801,4,2,1
6,885,3,3,1
5,907,2,4,1
5,178,1,5,1
5,174,0,6,1
1,1270,0,6,1
3,63,0,6,1
2,1251,5,1,1
2,1207,5,1,1
4,933,0,6,1
4,866,6,0,0
3,870,6,0,0
6,587,4,2,1
5,268,0,6,1
3,1163,6,0,0
4,77,0,6,1
0,421,4,2,1
0,223,0,6,1
6,78,0,6,1
6,315,0,6,1
1,553,6,0,0
1,573,4,2,1
1,1060,3,3,1
4,234,0,6,1
4,983,5,1,1
3,299,3,3,1
6,1136,0,6,1
1,10,0,6,1
1,407,0,6,1
0,700,5,1,1
6,1391,0,6,1
0,1196,6,0,0
3,1438,0,6,1
0,1222,4,2,1
0,971,3,3,1
4,114,0,6,1
5,1027,4,2,1
4,256,0,6,1
6,1213,0,6,1
1,179,2,4,1
5,395,0,6,1
2,36,0,6,1
1,482,2,4,1
0,65,0,6,1
1,82,0,6,1
5,1147,2,4,1
0,628,5,1,1
0,257,0,6,1
4,757,4,2,1
4,839,6,0,0
5,1350,0,6,1
1,1021,4,2,1
1,818,6,0,0
0,243,1,5,1
6,305,1,5,1
0,281,0,6,1
0,339,0,6,1
0,422,4,2,1
6,1215,0,6,1
1,1066,3,3,1
2,255,0,6,1
5,679,0,6,1
5,335,0,6,1
2,741,4,2,1
5,1246,2,4,1
2,1439,0,6,1
3,1074,4,2,1
0,1230,4,2,1
0,789,5,1,1
1,548,6,0,0
6,1361,0,6,1
0,1251,4,2,1
3,78,2,4,1
6,1434,0,6,1
3,297,3,3,1
6,9,0,6,1
5,1399,0,6,1
4,121,0,6,1
3,821,4,2,1
1,1224,1,5,1
6,682,0,6,1
0,450,4,2,1
1,604,4,2,1
5,1425,0,6,1
6,913,3,3,1
5,903,5,1,1
5,882,4,2,1
4,1415,0,6,1
3,792,4,2,1
6,202,0,6,1
6,1131,0,6,1
0,857,5,1,1
1,701,3,3,1
2,1271,6,0,0
2,614,2,4,1
4,902,2,4,1
6,449,0,6,1
4,1262,0,6,1
4,146,0,6,1
3,967,4,2,1
3,742,6,0,0
5,1067,1,5,1
5,1385,0,6,1
2,976,3,3,1
6,1279,3,3,1
5,1189,3,3,1
0,898,6,0,0
1,1194,3,3,1
5,681,1,5,1
4,1418,0,6,1
6,443,0,6,1
6,540,1,5,1
2,1020,5,1,1
0,128,0,6,1
1,84,0,6,1
2,410,4,2,1
4,989,0,6,1
2,858,4,2,1
1,1175,3,3,1
1,69,0,6,1
0,570,6,0,0
5,1205,4,2,1
6,63,0,6,1
1,809,6,0,0
0,171,0,6,1
4,1248,0,6,1
0,176,0,6,1
3,1419,0,6,1
2,1201,5,1,1
2,474,3,3,1
4,819,6,0,0
0,1313,0,6,1
2,64,0,6,1
2,1310,5,1,1
6,90,0,6,1
0,831,6,0,0
2,630,2,4,1
0,436,4,2,1
3,1106,5,1,1
0,514,5,1,1
4,1261,0,6,1
1,264,0,6,1
2,258,1,5,1
2,5,0,6,1
4,972,6,0,0
4,704,6,0,0
5,984,5,1,1
4,889,6,0,0
6,1126,6,0,0
0,7,0,6,1
4,482,2,4,1
4,27,0,6,1
6,568,1,5,1
2,993,6,0,0
5,1374,0,6,1
4,391,0,6,1
2,1378,3,3,1
5,1138,2,4,1
1,26,0,6,1
2,857,4,2,1
6,1132,0,6,1
3,144,0,6,1
3,829,6,0,0
0,547,5,1,1
0,1087,1,5,1
5,996,3,3,1
0,1083,1,5,1
3,1434,0,6,1
4,425,0,6,1
5,832,1,5,1
6,964,4,2,1
3,353,0,6,1
1,1024,3,3,1
2,199,0,6,1
2,898,6,0,0
1,295,1,5,1
2,176,0,6,1
1,1420,0,6,1
2,443,4,2,1
2,265,1,5,1
5,315,2,4,1
0,973,0,6,1
3,1213,6,0,0
0,353,4,2,1
3,133,4,2,1
1,962,5,1,1
1,1034,4,2,1
5,1290,0,6,1
2,16,0,6,1
6,980,4,2,1
2,233,0,6,1
6,801,2,4,1
4,1173,2,4,1
5,676,0,6,1
6,1222,0,6,1
1,529,6,0,0
3,984,5,1,1
0,155,0,6,1
4,602,6,0,0
0,224,0,6,1
5,1266,3,3,1
6,95,0,6,1
1,283,1,5,1
0,903,6,0,0
5,744,2,4,1
1,1220,2,4,1
3,140,4,2,1
4,913,6,0,0
6,965,1,5,1
6,435,0,6,1
1,1127,5,1,1
3,678,6,0,0
0,1300,0,6,1
0,1307,0,6,1
3,567,5,1,1
3,963,5,1,1
2,1080,5,1,1
4,468,1,5,1
3,683,5,1,1
1,429,1,5,1
1,667,6,0,0
0,326,3,3,1
3,521,3,3,1
0,655,6,0,0
3,978,5,1,1
1,825,6,0,0
1,1001,4,2,1
6,1229,0,6,1
0,318,3,3,1
5,671,0,6,1
0,1344,0,6,1
6,87,0,6,1
